VE,VE Transmission,Mask Effect,Average Secondary Infections
0.4,0.29,0.0,0.0
0.4,0.5,0.0,0.0
0.4,1.0,0.0,0.0
0.42,0.29,0.0,0.0
0.42,0.5,0.0,0.0
0.42,1.0,0.0,0.0
0.66,0.29,0.0,0.0
0.66,0.5,0.0,0.0
0.66,1.0,0.0,0.0
0.76,0.29,0.0,0.0
0.76,0.5,0.0,0.0
0.76,1.0,0.0,0.0
0.79,0.29,0.0,0.0
0.79,0.5,0.0,0.0
0.79,1.0,0.0,0.0
0.88,0.29,0.0,0.0
0.88,0.5,0.0,0.0
0.88,1.0,0.0,0.0
0.4,0.29,0.014499999999999999,0.0010476091595351402
0.4,0.5,0.014499999999999999,0.0007522628095234571
0.4,1.0,0.014499999999999999,0.0
0.42,0.29,0.014499999999999999,0.0010302821218700381
0.42,0.5,0.014499999999999999,0.0007064372289531961
0.42,1.0,0.014499999999999999,0.0
0.66,0.29,0.014499999999999999,0.0006030535490118611
0.66,0.5,0.014499999999999999,0.0004182870176434172
0.66,1.0,0.014499999999999999,9.913908358536945e-07
0.76,0.29,0.014499999999999999,0.0004183448177325226
0.76,0.5,0.014499999999999999,0.0002940086956888108
0.76,1.0,0.014499999999999999,0.0
0.79,0.29,0.014499999999999999,0.0003719251965668639
0.79,0.5,0.014499999999999999,0.00026210450492696947
0.79,1.0,0.014499999999999999,2.3384965552427505e-07
0.88,0.29,0.014499999999999999,0.00021170478198843465
0.88,0.5,0.014499999999999999,0.00014689033794427372
0.88,1.0,0.014499999999999999,1.8547823955707778e-07
0.4,0.29,0.028999999999999998,0.0020952183190702804
0.4,0.5,0.028999999999999998,0.0015045256190469143
0.4,1.0,0.028999999999999998,0.0
0.42,0.29,0.028999999999999998,0.0020605642437400763
0.42,0.5,0.028999999999999998,0.0014128744579063922
0.42,1.0,0.028999999999999998,0.0
0.66,0.29,0.028999999999999998,0.0012061070980237223
0.66,0.5,0.028999999999999998,0.0008365740352868344
0.66,1.0,0.028999999999999998,1.982781671707389e-06
0.76,0.29,0.028999999999999998,0.0008366896354650452
0.76,0.5,0.028999999999999998,0.0005880173913776216
0.76,1.0,0.028999999999999998,0.0
0.79,0.29,0.028999999999999998,0.0007438503931337278
0.79,0.5,0.028999999999999998,0.0005242090098539389
0.79,1.0,0.028999999999999998,4.676993110485501e-07
0.88,0.29,0.028999999999999998,0.0004234095639768693
0.88,0.5,0.028999999999999998,0.00029378067588854744
0.88,1.0,0.028999999999999998,3.7095647911415555e-07
0.4,0.29,0.0435,0.0031428274786054204
0.4,0.5,0.0435,0.0022567884285703715
0.4,1.0,0.0435,0.0
0.42,0.29,0.0435,0.0030908463656101146
0.42,0.5,0.0435,0.0021193116868595883
0.42,1.0,0.0435,0.0
0.66,0.29,0.0435,0.0018091606470355835
0.66,0.5,0.0435,0.0012548610529302517
0.66,1.0,0.0435,2.9741725075610837e-06
0.76,0.29,0.0435,0.0012550344531975677
0.76,0.5,0.0435,0.0008820260870664325
0.76,1.0,0.0435,0.0
0.79,0.29,0.0435,0.0011157755897005918
0.79,0.5,0.0435,0.0007863135147809084
0.79,1.0,0.0435,7.015489665728251e-07
0.88,0.29,0.0435,0.0006351143459653039
0.88,0.5,0.0435,0.0004406710138328212
0.88,1.0,0.0435,5.564347186712333e-07
0.4,0.29,0.057999999999999996,0.004190436638140561
0.4,0.5,0.057999999999999996,0.0030090512380938285
0.4,1.0,0.057999999999999996,0.0
0.42,0.29,0.057999999999999996,0.0041211284874801525
0.42,0.5,0.057999999999999996,0.0028257489158127844
0.42,1.0,0.057999999999999996,0.0
0.66,0.29,0.057999999999999996,0.0024122141960474445
0.66,0.5,0.057999999999999996,0.0016731480705736688
0.66,1.0,0.057999999999999996,3.965563343414778e-06
0.76,0.29,0.057999999999999996,0.0016733792709300904
0.76,0.5,0.057999999999999996,0.0011760347827552433
0.76,1.0,0.057999999999999996,0.0
0.79,0.29,0.057999999999999996,0.0014877007862674557
0.79,0.5,0.057999999999999996,0.0010484180197078779
0.79,1.0,0.057999999999999996,9.353986220971002e-07
0.88,0.29,0.057999999999999996,0.0008468191279537386
0.88,0.5,0.057999999999999996,0.0005875613517770949
0.88,1.0,0.057999999999999996,7.419129582283111e-07
0.4,0.29,0.0725,0.005238045797675701
0.4,0.5,0.0725,0.0037613140476172855
0.4,1.0,0.0725,0.0
0.42,0.29,0.0725,0.005151410609350191
0.42,0.5,0.0725,0.00353218614476598
0.42,1.0,0.0725,0.0
0.66,0.29,0.0725,0.0030152677450593058
0.66,0.5,0.0725,0.002091435088217086
0.66,1.0,0.0725,4.956954179268473e-06
0.76,0.29,0.0725,0.002091724088662613
0.76,0.5,0.0725,0.0014700434784440542
0.76,1.0,0.0725,0.0
0.79,0.29,0.0725,0.0018596259828343197
0.79,0.5,0.0725,0.0013105225246348474
0.79,1.0,0.0725,1.1692482776213752e-06
0.88,0.29,0.0725,0.0010585239099421733
0.88,0.5,0.0725,0.0007344516897213687
0.88,1.0,0.0725,9.273911977853889e-07
0.4,0.29,0.087,0.006285654957210841
0.4,0.5,0.087,0.004513576857140743
0.4,1.0,0.087,0.0
0.42,0.29,0.087,0.006181692731220229
0.42,0.5,0.087,0.004238623373719177
0.42,1.0,0.087,0.0
0.66,0.29,0.087,0.003618321294071167
0.66,0.5,0.087,0.0025097221058605033
0.66,1.0,0.087,5.948345015122167e-06
0.76,0.29,0.087,0.0025100689063951354
0.76,0.5,0.087,0.001764052174132865
0.76,1.0,0.087,0.0
0.79,0.29,0.087,0.0022315511794011836
0.79,0.5,0.087,0.0015726270295618168
0.79,1.0,0.087,1.4030979331456503e-06
0.88,0.29,0.087,0.0012702286919306078
0.88,0.5,0.087,0.0008813420276656424
0.88,1.0,0.087,1.1128694373424666e-06
0.4,0.29,0.10149999999999999,0.007333264116745981
0.4,0.5,0.10149999999999999,0.0052658396666642
0.4,1.0,0.10149999999999999,0.0
0.42,0.29,0.10149999999999999,0.007211974853090267
0.42,0.5,0.10149999999999999,0.004945060602672372
0.42,1.0,0.10149999999999999,0.0
0.66,0.29,0.10149999999999999,0.004221374843083028
0.66,0.5,0.10149999999999999,0.0029280091235039203
0.66,1.0,0.10149999999999999,6.939735850975862e-06
0.76,0.29,0.10149999999999999,0.002928413724127658
0.76,0.5,0.10149999999999999,0.0020580608698216756
0.76,1.0,0.10149999999999999,0.0
0.79,0.29,0.10149999999999999,0.0026034763759680475
0.79,0.5,0.10149999999999999,0.0018347315344887864
0.79,1.0,0.10149999999999999,1.6369475886699253e-06
0.88,0.29,0.10149999999999999,0.0014819334739190426
0.88,0.5,0.10149999999999999,0.001028232365609916
0.88,1.0,0.10149999999999999,1.2983476768995444e-06
0.4,0.29,0.11599999999999999,0.008380873276281122
0.4,0.5,0.11599999999999999,0.006018102476187657
0.4,1.0,0.11599999999999999,0.0
0.42,0.29,0.11599999999999999,0.008242256974960305
0.42,0.5,0.11599999999999999,0.005651497831625569
0.42,1.0,0.11599999999999999,0.0
0.66,0.29,0.11599999999999999,0.004824428392094889
0.66,0.5,0.11599999999999999,0.0033462961411473376
0.66,1.0,0.11599999999999999,7.931126686829556e-06
0.76,0.29,0.11599999999999999,0.003346758541860181
0.76,0.5,0.11599999999999999,0.0023520695655104866
0.76,1.0,0.11599999999999999,0.0
0.79,0.29,0.11599999999999999,0.0029754015725349113
0.79,0.5,0.11599999999999999,0.0020968360394157557
0.79,1.0,0.11599999999999999,1.8707972441942004e-06
0.88,0.29,0.11599999999999999,0.0016936382559074772
0.88,0.5,0.11599999999999999,0.0011751227035541897
0.88,1.0,0.11599999999999999,1.4838259164566222e-06
0.4,0.29,0.1305,0.009428482435816263
0.4,0.5,0.1305,0.006770365285711115
0.4,1.0,0.1305,0.0
0.42,0.29,0.1305,0.009272539096830346
0.42,0.5,0.1305,0.006357935060578765
0.42,1.0,0.1305,0.0
0.66,0.29,0.1305,0.005427481941106751
0.66,0.5,0.1305,0.003764583158790755
0.66,1.0,0.1305,8.922517522683252e-06
0.76,0.29,0.1305,0.003765103359592704
0.76,0.5,0.1305,0.002646078261199298
0.76,1.0,0.1305,0.0
0.79,0.29,0.1305,0.0033473267691017756
0.79,0.5,0.1305,0.0023589405443427253
0.79,1.0,0.1305,2.1046468997184755e-06
0.88,0.29,0.1305,0.0019053430378959122
0.88,0.5,0.1305,0.0013220130414984637
0.88,1.0,0.1305,1.6693041560137002e-06
0.4,0.29,0.145,0.010476091595351402
0.4,0.5,0.145,0.007522628095234571
0.4,1.0,0.145,0.0
0.42,0.29,0.145,0.010302821218700383
0.42,0.5,0.145,0.00706437228953196
0.42,1.0,0.145,0.0
0.66,0.29,0.145,0.0060305354901186116
0.66,0.5,0.145,0.004182870176434172
0.66,1.0,0.145,9.913908358536946e-06
0.76,0.29,0.145,0.004183448177325226
0.76,0.5,0.145,0.0029400869568881084
0.76,1.0,0.145,0.0
0.79,0.29,0.145,0.0037192519656686395
0.79,0.5,0.145,0.002621045049269695
0.79,1.0,0.145,2.3384965552427504e-06
0.88,0.29,0.145,0.0021170478198843466
0.88,0.5,0.145,0.0014689033794427373
0.88,1.0,0.145,1.8547823955707778e-06
0.4,0.29,0.15949999999999998,0.011523700754886542
0.4,0.5,0.15949999999999998,0.008274890904758027
0.4,1.0,0.15949999999999998,0.0
0.42,0.29,0.15949999999999998,0.01133310334057042
0.42,0.5,0.15949999999999998,0.007770809518485156
0.42,1.0,0.15949999999999998,0.0
0.66,0.29,0.15949999999999998,0.006633589039130472
0.66,0.5,0.15949999999999998,0.004601157194077589
0.66,1.0,0.15949999999999998,1.0905299194390639e-05
0.76,0.29,0.15949999999999998,0.004601792995057748
0.76,0.5,0.15949999999999998,0.003234095652576919
0.76,1.0,0.15949999999999998,0.0
0.79,0.29,0.15949999999999998,0.004091177162235503
0.79,0.5,0.15949999999999998,0.002883149554196664
0.79,1.0,0.15949999999999998,2.5723462107670252e-06
0.88,0.29,0.15949999999999998,0.002328752601872781
0.88,0.5,0.15949999999999998,0.0016157937173870108
0.88,1.0,0.15949999999999998,2.0402606351278556e-06
0.4,0.29,0.174,0.012571309914421682
0.4,0.5,0.174,0.009027153714281486
0.4,1.0,0.174,0.0
0.42,0.29,0.174,0.012363385462440458
0.42,0.5,0.174,0.008477246747438353
0.42,1.0,0.174,0.0
0.66,0.29,0.174,0.007236642588142334
0.66,0.5,0.174,0.005019444211721007
0.66,1.0,0.174,1.1896690030244335e-05
0.76,0.29,0.174,0.005020137812790271
0.76,0.5,0.174,0.00352810434826573
0.76,1.0,0.174,0.0
0.79,0.29,0.174,0.004463102358802367
0.79,0.5,0.174,0.0031452540591236336
0.79,1.0,0.174,2.8061958662913005e-06
0.88,0.29,0.174,0.0025404573838612157
0.88,0.5,0.174,0.0017626840553312847
0.88,1.0,0.174,2.225738874684933e-06
0.4,0.29,0.1885,0.013618919073956823
0.4,0.5,0.1885,0.009779416523804943
0.4,1.0,0.1885,0.0
0.42,0.29,0.1885,0.013393667584310497
0.42,0.5,0.1885,0.009183683976391549
0.42,1.0,0.1885,0.0
0.66,0.29,0.1885,0.007839696137154196
0.66,0.5,0.1885,0.005437731229364424
0.66,1.0,0.1885,1.288808086609803e-05
0.76,0.29,0.1885,0.005438482630522794
0.76,0.5,0.1885,0.003822113043954541
0.76,1.0,0.1885,0.0
0.79,0.29,0.1885,0.004835027555369232
0.79,0.5,0.1885,0.003407358564050603
0.79,1.0,0.1885,3.040045521815576e-06
0.88,0.29,0.1885,0.0027521621658496507
0.88,0.5,0.1885,0.0019095743932755586
0.88,1.0,0.1885,2.411217114242011e-06
0.4,0.29,0.20299999999999999,0.014666528233491962
0.4,0.5,0.20299999999999999,0.0105316793333284
0.4,1.0,0.20299999999999999,0.0
0.42,0.29,0.20299999999999999,0.014423949706180534
0.42,0.5,0.20299999999999999,0.009890121205344745
0.42,1.0,0.20299999999999999,0.0
0.66,0.29,0.20299999999999999,0.008442749686166056
0.66,0.5,0.20299999999999999,0.0058560182470078406
0.66,1.0,0.20299999999999999,1.3879471701951723e-05
0.76,0.29,0.20299999999999999,0.005856827448255316
0.76,0.5,0.20299999999999999,0.004116121739643351
0.76,1.0,0.20299999999999999,0.0
0.79,0.29,0.20299999999999999,0.005206952751936095
0.79,0.5,0.20299999999999999,0.0036694630689775728
0.79,1.0,0.20299999999999999,3.2738951773398507e-06
0.88,0.29,0.20299999999999999,0.0029638669478380853
0.88,0.5,0.20299999999999999,0.002056464731219832
0.88,1.0,0.20299999999999999,2.596695353799089e-06
0.4,0.29,0.21749999999999997,0.015714137393027103
0.4,0.5,0.21749999999999997,0.011283942142851855
0.4,1.0,0.21749999999999997,0.0
0.42,0.29,0.21749999999999997,0.015454231828050571
0.42,0.5,0.21749999999999997,0.01059655843429794
0.42,1.0,0.21749999999999997,0.0
0.66,0.29,0.21749999999999997,0.009045803235177917
0.66,0.5,0.21749999999999997,0.0062743052646512575
0.66,1.0,0.21749999999999997,1.4870862537805418e-05
0.76,0.29,0.21749999999999997,0.006275172265987838
0.76,0.5,0.21749999999999997,0.004410130435332163
0.76,1.0,0.21749999999999997,0.0
0.79,0.29,0.21749999999999997,0.005578877948502959
0.79,0.5,0.21749999999999997,0.0039315675739045415
0.79,1.0,0.21749999999999997,3.5077448328641255e-06
0.88,0.29,0.21749999999999997,0.00317557172982652
0.88,0.5,0.21749999999999997,0.0022033550691641056
0.88,1.0,0.21749999999999997,2.7821735933561664e-06
0.4,0.29,0.23199999999999998,0.016761746552562243
0.4,0.5,0.23199999999999998,0.012036204952375314
0.4,1.0,0.23199999999999998,0.0
0.42,0.29,0.23199999999999998,0.01648451394992061
0.42,0.5,0.23199999999999998,0.011302995663251138
0.42,1.0,0.23199999999999998,0.0
0.66,0.29,0.23199999999999998,0.009648856784189778
0.66,0.5,0.23199999999999998,0.006692592282294675
0.66,1.0,0.23199999999999998,1.5862253373659112e-05
0.76,0.29,0.23199999999999998,0.006693517083720362
0.76,0.5,0.23199999999999998,0.004704139131020973
0.76,1.0,0.23199999999999998,0.0
0.79,0.29,0.23199999999999998,0.005950803145069823
0.79,0.5,0.23199999999999998,0.0041936720788315115
0.79,1.0,0.23199999999999998,3.741594488388401e-06
0.88,0.29,0.23199999999999998,0.0033872765118149544
0.88,0.5,0.23199999999999998,0.0023502454071083795
0.88,1.0,0.23199999999999998,2.9676518329132444e-06
0.4,0.29,0.2465,0.017809355712097383
0.4,0.5,0.2465,0.012788467761898771
0.4,1.0,0.2465,0.0
0.42,0.29,0.2465,0.01751479607179065
0.42,0.5,0.2465,0.012009432892204333
0.42,1.0,0.2465,0.0
0.66,0.29,0.2465,0.010251910333201641
0.66,0.5,0.2465,0.007110879299938093
0.66,1.0,0.2465,1.6853644209512808e-05
0.76,0.29,0.2465,0.007111861901452884
0.76,0.5,0.2465,0.0049981478267097845
0.76,1.0,0.2465,0.0
0.79,0.29,0.2465,0.006322728341636687
0.79,0.5,0.2465,0.0044557765837584815
0.79,1.0,0.2465,3.975444143912676e-06
0.88,0.29,0.2465,0.0035989812938033894
0.88,0.5,0.2465,0.0024971357450526534
0.88,1.0,0.2465,3.1531300724703224e-06
0.4,0.29,0.261,0.018856964871632527
0.4,0.5,0.261,0.01354073057142223
0.4,1.0,0.261,0.0
0.42,0.29,0.261,0.01854507819366069
0.42,0.5,0.261,0.01271587012115753
0.42,1.0,0.261,0.0
0.66,0.29,0.261,0.010854963882213502
0.66,0.5,0.261,0.00752916631758151
0.66,1.0,0.261,1.7845035045366504e-05
0.76,0.29,0.261,0.007530206719185408
0.76,0.5,0.261,0.005292156522398596
0.76,1.0,0.261,0.0
0.79,0.29,0.261,0.006694653538203551
0.79,0.5,0.261,0.004717881088685451
0.79,1.0,0.261,4.209293799436951e-06
0.88,0.29,0.261,0.0038106860757918244
0.88,0.5,0.261,0.0026440260829969273
0.88,1.0,0.261,3.3386083120274004e-06
0.4,0.29,0.27549999999999997,0.019904574031167663
0.4,0.5,0.27549999999999997,0.014292993380945685
0.4,1.0,0.27549999999999997,0.0
0.42,0.29,0.27549999999999997,0.019575360315530727
0.42,0.5,0.27549999999999997,0.013422307350110725
0.42,1.0,0.27549999999999997,0.0
0.66,0.29,0.27549999999999997,0.011458017431225362
0.66,0.5,0.27549999999999997,0.007947453335224926
0.66,1.0,0.27549999999999997,1.8836425881220196e-05
0.76,0.29,0.27549999999999997,0.007948551536917928
0.76,0.5,0.27549999999999997,0.0055861652180874055
0.76,1.0,0.27549999999999997,0.0
0.79,0.29,0.27549999999999997,0.007066578734770414
0.79,0.5,0.27549999999999997,0.00497998559361242
0.79,1.0,0.27549999999999997,4.443143454961226e-06
0.88,0.29,0.27549999999999997,0.004022390857780258
0.88,0.5,0.27549999999999997,0.002790916420941201
0.88,1.0,0.27549999999999997,3.5240865515844776e-06
0.4,0.29,0.29,0.020952183190702803
0.4,0.5,0.29,0.015045256190469142
0.4,1.0,0.29,0.0
0.42,0.29,0.29,0.020605642437400765
0.42,0.5,0.29,0.01412874457906392
0.42,1.0,0.29,0.0
0.66,0.29,0.29,0.012061070980237223
0.66,0.5,0.29,0.008365740352868344
0.66,1.0,0.29,1.9827816717073892e-05
0.76,0.29,0.29,0.008366896354650452
0.76,0.5,0.29,0.005880173913776217
0.76,1.0,0.29,0.0
0.79,0.29,0.29,0.007438503931337279
0.79,0.5,0.29,0.00524209009853939
0.79,1.0,0.29,4.676993110485501e-06
0.88,0.29,0.29,0.004234095639768693
0.88,0.5,0.29,0.0029378067588854747
0.88,1.0,0.29,3.7095647911415556e-06
